	Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
39	TraderMade	USD/SEK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	10.34555	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
40	TraderMade	EUR/MXN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	27.1917	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
41	TraderMade	USD/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	11.58	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
42	TraderMade	USD/ZAR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	17.8368	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
43	TraderMade	CAD/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.67936	CAD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
44	TraderMade	EUR/HUF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	351.42499	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
45	TraderMade	USD/CAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.4498	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
46	TraderMade	TRY/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	16.9525	TRY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
47	TraderMade	EUR/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.05638	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
48	TraderMade	NZD/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.57225	NZD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
49	TraderMade	NZD/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.56322	NZD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
50	TraderMade	GBP/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.13707	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
51	TraderMade	AUD/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	64.8175	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
52	TraderMade	USD/MXN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	25.3512	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
53	TraderMade	PEN/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.26374	PEN			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
54	TraderMade	PLN/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.21695	PLN			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
55	TraderMade	USD/PEN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	3.53389	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
56	TraderMade	NZD/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.49535	NZD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
57	TraderMade	USD/CNY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.09281	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
58	TraderMade	COP/BRL	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00124	COP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
59	TraderMade	USD/MAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	9.79606	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
60	TraderMade	USD/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.93242	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
61	TraderMade	HUF/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00305	HUF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
62	TraderMade	AUD/SEK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	6.02935	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
63	TraderMade	JPY/SGD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.01313	JPY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
64	TraderMade	AED/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.23611	AED			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
65	TraderMade	SEK/NZD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.16902	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
66	TraderMade	CHF/AUD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.74262	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
67	TraderMade	TWD/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.03304	TWD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
68	TraderMade	BRL/MXN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4.93682	BRL			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
69	TraderMade	AUD/RUB	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	46.29844	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
70	TraderMade	HRK/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.14108	HRK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
71	TraderMade	JPY/NZD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.01572	JPY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
72	TraderMade	GBP/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.07618	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
